State,District,Latitude,Longitude,District code,State name,Population,Male,Female,Literate,Male_Literate,Female_Literate,SC,ST,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Rural_Households,Urban_Households,Total_Power_Parity,sex_ratio,literacy_rate
Andhra Pradesh,Adilabad,19.284513950073435,78.81321233480176,532,ANDHRA PRADESH,2741239,1369597,1371642,1483347,856350,626997,488596,495794,2399901,275970,15422,1377,25510,617,322,566108,5512,45202,597466,220248,4181,100.0,54.0
Andhra Pradesh,Anantapur,14.312065561843148,77.4601584478577,553,ANDHRA PRADESH,4081148,2064495,2016653,2310960,1338474,972486,583135,154127,3599372,443456,20463,932,341,1417,309,897970,8606,48299,902997,341431,5799,100.0,57.0
Andhra Pradesh,Chittoor,13.33109263067696,78.92763898886037,554,ANDHRA PRADESH,4174064,2090204,2083860,2667878,1484794,1183084,785760,159165,3737588,397870,24129,867,253,1322,358,944555,13763,67087,907970,395900,5926,100.0,64.0
Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511,545,ANDHRA PRADESH,5154296,2569688,2584608,3288577,1716933,1571644,945269,213195,4983330,77777,77825,738,413,4149,403,1297273,22411,93784,1199479,406362,7211,100.0,64.0
Andhra Pradesh,Guntur,15.884925767634847,80.58657614107885,548,ANDHRA PRADESH,4887813,2440521,2447292,2960441,1634726,1325715,957407,247089,4217597,559770,89763,764,323,3282,332,1186028,19383,80434,1069877,513113,6981,100.0,61.0
Andhra Pradesh,Hyderabad,17.38971555555556,78.46668888888888,536,ANDHRA PRADESH,3943323,2018575,1924748,2892155,1542688,1349467,247927,48937,2046051,1713405,87522,11446,1268,19560,1929,869721,149034,274653,0,1066289,11071,100.0,73.0
Andhra Pradesh,Karimnagar,18.515483193277312,79.43765428571413,534,ANDHRA PRADESH,3776269,1880800,1895469,2206829,1257238,949591,709757,106745,3491139,244723,24979,2086,332,312,115,926768,8831,46584,877236,288044,5251,100.0,58.0
Andhra Pradesh,Khammam,17.683921325051784,80.67008643892335,541,ANDHRA PRADESH,2797370,1390988,1406382,1630234,901640,728594,462896,765565,2595321,158887,33463,655,217,459,539,668519,8628,42171,669262,201363,3836,100.0,58.0
Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413,547,ANDHRA PRADESH,4517398,2267375,2250023,3009718,1598959,1410759,871063,132464,4023678,307043,145598,1393,863,6320,906,1163932,30438,101450,909292,567042,6983,100.0,67.0
Andhra Pradesh,Kurnool,15.43759715142429,77.90086836581717,552,ANDHRA PRADESH,4053463,2039227,2014236,2127161,1246369,880792,737945,82831,3328380,670737,33165,737,255,2235,434,816721,10081,56478,783853,306982,5301,100.0,52.0
Andhra Pradesh,Mahbubnagar,16.639546224256293,77.98933089244859,538,ANDHRA PRADESH,4053028,2050386,2002642,1940646,1158386,782260,708954,364269,3673456,334172,21345,658,290,388,267,757821,6153,60812,848963,161052,4695,100.0,48.0
Andhra Pradesh,Medak,17.889304978038055,78.13778901903379,535,ANDHRA PRADESH,3033288,1523030,1510258,1637137,953406,683731,537947,168985,2637313,342449,34301,1309,554,457,217,604719,8635,47170,593653,195479,3874,100.0,54.0
Andhra Pradesh,Nalgonda,17.113250515463907,79.16984453608244,539,ANDHRA PRADESH,3488809,1759772,1729037,2001019,1160757,840262,637385,394279,3249231,188646,35025,937,241,250,132,789225,7715,53777,833504,197433,4468,100.0,57.0
Andhra Pradesh,Nizamabad,18.429485849056604,78.07523490566035,533,ANDHRA PRADESH,2551335,1250641,1300694,1389810,790214,599596,371074,192941,2123426,391596,19653,2357,1847,542,146,545913,5261,35036,565165,155133,3458,100.0,54.0
Andhra Pradesh,Prakasam,15.489039001601704,80.11665790176184,549,ANDHRA PRADESH,3397448,1714764,1682684,1904435,1107686,796749,787861,151145,3150195,220654,18775,266,97,204,206,763746,6151,43611,873486,214089,4304,100.0,56.0
Andhra Pradesh,Srikakulam,18.570900998697432,84.25874814010675,542,ANDHRA PRADESH,2703114,1341738,1361376,1495381,857824,637557,255664,166118,2666950,9025,18879,193,77,160,106,615432,3988,32280,752752,149684,3301,100.0,55.0
Andhra Pradesh,Vizianagaram,18.28329696032972,83.45982854198873,543,ANDHRA PRADESH,2344474,1161477,1182997,1238388,707503,530885,247728,235556,2299129,16423,17853,380,114,815,183,527736,4453,24128,592458,157056,3103,100.0,53.0
Andhra Pradesh,Warangal,18.01752608695651,79.87422028985509,540,ANDHRA PRADESH,3512576,1759281,1753295,2065023,1179790,885233,616102,530656,3273755,197333,31377,1453,253,569,126,828077,12952,59006,758738,288249,4762,100.0,59.0
Andhra Pradesh,West Godavari,16.63297943925236,81.45912990654196,546,ANDHRA PRADESH,3936966,1964918,1972048,2652389,1379223,1273166,811698,109072,3733191,86142,109120,288,209,1578,211,1017568,12050,55613,1007255,248373,5485,100.0,67.0
Arunachal Pradesh,Changlang,27.36048479338845,96.37552644628106,253,ARUNACHAL PRADESH,148226,76948,71278,73174,44027,29147,0,53878,47683,2134,35969,94,50381,95,11738,14593,170,1486,33422,6498,348,100.0,49.0
Arunachal Pradesh,East Kameng,27.371194055944056,93.04741486013997,247,ARUNACHAL PRADESH,78690,38775,39915,38449,21599,16850,0,72400,12333,652,37136,36,452,23,27868,5318,57,885,14503,5215,348,100.0,49.0
Arunachal Pradesh,East Siang,28.15382352941176,95.06499226006191,251,ARUNACHAL PRADESH,99214,50116,49098,62576,34210,28366,0,69979,27854,2289,18254,69,776,30,49393,14231,450,1582,19497,9524,644,100.0,63.0
Arunachal Pradesh,Kurung Kumey,28.04853351800553,93.24531994459834,256,ARUNACHAL PRADESH,92076,45318,46758,36606,20258,16348,0,90764,4859,471,51189,43,121,81,34158,3911,95,969,18603,1092,348,100.0,40.0
Arunachal Pradesh,Lohit,27.946785273972623,96.59670770547945,259,ARUNACHAL PRADESH,145726,76221,69505,83062,48380,34682,0,47410,99020,3846,10684,210,24452,104,7277,17157,312,1471,33599,11372,348,100.0,57.0
Arunachal Pradesh,Lower Dibang Valley,28.32651730103806,95.76567335640142,258,ARUNACHAL PRADESH,54080,28053,26027,31849,18087,13762,0,25974,28915,2247,9213,33,2932,19,10393,5932,207,742,12000,3950,348,100.0,59.0
Arunachal Pradesh,Lower Subansiri,27.70849297297297,93.96226108108112,255,ARUNACHAL PRADESH,83030,41843,41187,54057,29470,24587,0,72911,9551,1482,34402,27,193,13,37085,12493,381,1598,18112,5365,348,100.0,65.0
Arunachal Pradesh,Papum Pare,27.273529716981127,93.54468183962264,248,ARUNACHAL PRADESH,176573,89182,87391,121048,65794,55254,0,117216,57027,6148,84397,310,4768,139,22586,30539,2477,7418,20308,30180,644,100.0,69.0
Arunachal Pradesh,Tawang,27.680683962264148,91.82504245283016,245,ARUNACHAL PRADESH,49977,29151,20826,26073,17720,8353,0,34811,11842,787,776,1164,34920,72,349,8635,96,494,10730,2452,348,100.0,52.0
Arunachal Pradesh,Tirap,26.94406229508198,95.41470327868862,254,ARUNACHAL PRADESH,111975,57604,54371,47974,29313,18661,0,98372,20682,1103,83361,61,778,43,5325,16026,98,888,18420,6500,348,100.0,43.0
Arunachal Pradesh,Upper Siang,28.8309244897959,95.00155765306124,252,ARUNACHAL PRADESH,35320,18699,16621,18195,10723,7472,0,28468,5261,411,5643,27,2577,7,20967,6198,97,392,8569,2182,348,100.0,52.0
Arunachal Pradesh,Upper Subansiri,28.277196566523585,93.8991435622318,249,ARUNACHAL PRADESH,83448,41758,41690,45278,24807,20471,0,78323,13474,521,8779,28,297,11,59449,5373,139,750,14542,4672,348,100.0,54.0
Arunachal Pradesh,West Kameng,27.46486582278483,92.65015750452083,246,ARUNACHAL PRADESH,83947,46155,37792,48492,29566,18926,0,46380,31265,1970,8466,328,36087,71,5556,14188,202,887,17889,6306,348,100.0,58.0
Arunachal Pradesh,West Siang,28.106296920289843,94.53510344202908,250,ARUNACHAL PRADESH,112274,58168,54106,64746,36777,27969,0,92783,15881,2218,29969,577,3311,49,60005,14204,303,1300,22272,8503,348,100.0,58.0
Assam,Barpeta,26.427872264631056,90.97912010178116,303,ASSAM,1693622,867004,826618,897058,499038,398020,95320,27344,492966,1198036,1020,112,49,399,14,84804,2078,25286,447189,52192,348,100.0,53.0
Assam,Bongaigaon,26.45012521994133,90.6734296187684,319,ASSAM,738804,375818,362986,434078,237114,196964,82784,18835,359145,371033,5924,384,236,871,9,49866,2523,12959,181923,38470,348,100.0,59.0
Assam,Cachar,24.815570668693017,92.86849650455927,316,ASSAM,1736617,886284,850333,1174128,639946,534182,264897,17569,1038985,654816,37635,280,341,1673,98,140205,5316,37541,346227,88933,348,100.0,68.0
Assam,Darrang,26.58463215962442,92.04141338028155,325,ASSAM,928500,475273,453227,487039,268666,218373,40260,8419,327322,597392,1688,431,57,724,19,45444,1166,12084,268517,20189,348,100.0,52.0
Assam,Dhemaji,27.586533438485816,94.71336908517353,308,ASSAM,686133,351249,334884,423028,237761,185267,44225,325560,655052,13475,8711,297,911,167,6315,28195,1192,10410,211758,16504,348,100.0,62.0
Assam,Dibrugarh,27.30612284482757,95.0998282327587,310,ASSAM,1326335,676434,649901,884531,491361,393170,58876,102871,1198401,64526,52968,2261,4673,1055,46,136685,8817,34479,299852,77163,348,100.0,67.0
Assam,Goalpara,26.017277777777807,90.59869891598912,302,ASSAM,1008183,513292,494891,563577,304302,259275,45094,231570,347878,579929,77862,771,194,477,103,78641,1364,13524,228610,39504,348,100.0,56.0
